Model,Checkpoint,Accuracy,Precision,Recall,Specificity,F1,ROC_AUC,PR_AUC,TN,FP,FN,TP
efficientnet_b3,/content/drive/MyDrive/Capstone_project_Pneumonia/outputs_compare/efficientnet_b3_best.pt,0.851999999998296,0.8108808290134434,0.9968152866210293,0.6075268817171638,0.894285713788449,0.9770991712896376,0.9836269074841874,113,73,1,313
resnet50,/content/drive/MyDrive/Capstone_project_Pneumonia/outputs_compare/resnet50_best.pt,0.847999999998304,0.8082901554383205,0.9936305732452433,0.6021505376311713,0.8914285709313143,0.9548746661187589,0.9658549061349438,112,74,2,312
convnext_small,/content/drive/MyDrive/Capstone_project_Pneumonia/outputs_compare/convnext_small_best.pt,0.8299999999983401,0.7913486005068923,0.9904458598694572,0.5591397849432305,0.8797736911586339,0.9731525237997397,0.9838501752707608,104,82,3,311
convnext_tiny,/content/drive/MyDrive/Capstone_project_Pneumonia/outputs_compare/convnext_tiny_best.pt,0.821999999998356,0.779156327541491,0.9999999999968153,0.5215053763412822,0.8758716870924296,0.9666803643586056,0.9789606484818824,97,89,0,314
efficientnet_b0,/content/drive/MyDrive/Capstone_project_Pneumonia/outputs_compare/efficientnet_b0_best.pt,0.773999999998452,0.7364705882335613,0.9968152866210293,0.3978494623634524,0.8470906625671747,0.961175604410657,0.9680645033040112,74,112,1,313
densenet121,/content/drive/MyDrive/Capstone_project_Pneumonia/outputs_compare/densenet121_best.pt,0.717999999998564,0.6901098901083734,0.9999999999968153,0.24193548386966704,0.816644993012735,0.945243476474214,0.9555764868972675,45,141,0,314
smallcnn,/content/drive/MyDrive/Capstone_project_Pneumonia/outputs_compare/smallcnn_best.pt,0.725999999998548,0.7122302158256302,0.9458598726084527,0.3548387096755116,0.8125854988237091,0.8389493870282858,0.8806058211295028,66,120,17,297
resnet18,/content/drive/MyDrive/Capstone_project_Pneumonia/outputs_compare/resnet18_best.pt,0.70999999999858,0.6840958605649584,0.9999999999968153,0.2204301075256966,0.8124191456991912,0.935766385863982,0.9543717956444409,41,145,0,314
swin_t,/content/drive/MyDrive/Capstone_project_Pneumonia/outputs_compare/swin_t_best.pt,0.627999999998744,0.627999999998744,0.9999999999968153,0.0,0.7714987710229824,0.6495445517430314,0.7261102240337721,0,186,0,314
swin_s,/content/drive/MyDrive/Capstone_project_Pneumonia/outputs_compare/swin_s_best.pt,0.627999999998744,0.627999999998744,0.9999999999968153,0.0,0.7714987710229824,0.7918036435860557,0.8600550191879105,0,186,0,314
